id,comp_name,difficulty,Tier,description_short,description_long,enabler,commit
1,Pirates - Prime APM,Difficile,S,Les primes génèrent de l'or et des stats,"Amirale du ciel Rogers combiné avec Corsaire orgueilleux donne beaucoup d'or pour atteindre la compo. Cycler Méditante sereine, ou buff sort Chromadrakes avec Brann pour scale vos sorts et rendre vos buffs de primes plus forts. Vous voulez aussi cycler toutes les cartes gratuites (Anomalie actualisante) et Navigatrice de passage pour rester infini. Vous pouvez aussi scale en utilisant Pirate intrépide + Enchanteresse drakkari aussi. POUR LES JOUEURS AGUERRI : après que vous ayez atteint l'infini, pensez aux scaling le plus possible avec votre position. Les possibilités sont pivot Fuyard de navire (Ara monstrueux + Titus Vaillefendre) ou pivot Evocateur forgefeu (Poète invétéré + Plaie-de-Nuit, embrasé), ou pivot Azerite, ou pivot Démon",Midgame Primes (Brigand expérimenté/Pilleuse de la cité perdue),Génération de Primes (Amirale du ciel Rogers) + Corsaire orgueilleux
2,Démons - Buff Taverne,Moyen,S,Scale et consommer la taverne,"Trouvez un moyen de scale votre shop, généralement ce sera grâce à Danseuse de l'ombre, Élémentaire gangrené, ou Conquérante absolue. Puis, ajouter des Chair à Démon à votre taverne  pour obtenir les serviteurs buff de la taverne. Normalement, vous avez un configuration d'économie avec Brann Barbe-de-Bronze + rembobineur de dégâts (Corrupteur cendreux) qui vous permet de cycler beaucoup de cartes. Toutes les cards que vous cyclez vont ajouter des Chair à Démon à manger grâce à Garde-courroux maléfique. Il y a aussi une autre possibilité où vous ajoutez des Chair à démon dans votre taverne via Rylak fan de métal + Assistant de laboratoire.",Brann Barbe-de-Bronze + Demon midgame (Profanateur des bois),Taverne buffé (Danseuse de l'ombre) + Corrupteur cendreux + Brann Barbe-de-Bronze
3,Méca - Automate,Facile,A,Invoquez des Automate forts ,"Réincarner vos Automate dès que possible pour commencer à scale. Mettez un Assembleur auto sans magnétiser sur votre plateau pour le scale. Roll à taverne niv5 pour Apprentie de Kangor, puis remplissez le reste de votre compo avec Leeroy et des scams.","Roi Liche, Akazamarak (Paquet Tactiques), ou Teron Gorefield",Automate + un pouvoir ou un babiole qui le permet
4,Consécutive,Moyen,S,Scale et réutiliser des sorts de taverne spécifiques,"Scale la puissance de sort avec Adjurateur de gangrefeu + Enchanteresse drakkari pour améliorer votre Consécutive. Puis, utilisez Balinda Gîtepierre pour doubler le scaling et la puissance de vos Consécutive. Messagère cataclysmique vous permet de les dupliquer à chaque tour. Scale des unités fortes comme Vicéquin Blanchette.",Messagère cataclysmique + Enchantresse drakkari,Génération de Consécutive (Messagère cataclysmique) + puissance de sort (Adjurateur de gangrefeu) + Enchanteresse drakkari
5,Bêtes - Léviathan,Facile,A,Créer des invocations avec énormément d'attaque,"Invoquez autant de bêtes que possible après avoir obtenu un Léviathan embusqué en early. Vous pouvez soit utiliser Seigneur des égouts et/ou Rylak fan de métal + Requin-tigre en chasse. Puis, combinez à cela Ça donne la banane : toutes les invocations vont avoir une tonne de dégâts. Réincarnez Seigneur des égouts donnent tellement d'invocations.",Rylak fan de métal + Requin-tigre en chasse,Obtenir rapidement Léviathan embusqué + Bêtes invoquantes (Seigneur des égouts)
6,Elémentaires - Taverne/Sorts Buff,Moyen,S,Créer des serviteurs forts dans votre taverne pour scale,"Premièrement, buffez la taverne. C'est généralement fait via Azérite vivante, mais Revenant aérien fonctionne aussi. Gardez Raboteur de ligne tellurique pour les stats. Doublez l'effet de Absorption des arcanes que vous obtenez du Rabouteur en utilisant Balinda Gîtepierre. En fin de partie, scalez vos Élémentaire du feu de brousse.",Brann Barbe-de-Bronze,Brann Barbe-de-Bronze + buff de tavern (Azérite Vivante)
7,Huran - Traffiquant,Moyen,B,Jouer des gemmes pendant vos combats,"**DOIT AVOIR BÊTES** Avant que vous commenciez à proquer Trafiquante de gemmes, vous devez scale vos gemmes autant que possible, typiquement avec Sonneur épineux et aussi en proquand Saxophoniste hérissé autant que possible. Dans le milieu de partie, utilisez Les Trois Petits Hurans ou Dvorak-Hirsute pour stabiliser. La version finale de cette compo utilise Rylak fan de métal pour proquer Trafiquante de gemmes. Puis, réincarner Rylak. Ara monstrueux, Brann Barbe-de-Bronze et Titus Vaillefendre agissent tous comme un multiplicateur à l'effet de Rylak. Si vous avez Rylak dorée, alors vous pouvez essayé de proc et le saxophoniste, et la traffiquante. Vous pouvez ajouté Tarecgosa pour conserver les gemmes.",Scaling gemme de sang + Midgame Huran (Sonneur épineux),Brann Barbe-de-Bronze + Scaling de gemmes de sang (Sonneur épineux) + Trafiquante de gemmes + Rylak fan de métal
8,Bêtes - Invocations,Facile,A,Scale des bêtes invoquées en combat,"Goldrinn, le grand loup + Ara monstrueux et Titus Vaillefendre donne une énorme effet d'aura qui affecte toutes les bêtes invoquées. Généralement, vous voulez provoquer et réincarner Goldrinn pour que le Ara le proc toujours et pour qu'il meurt toujours. Seigneur des égouts est la meilleur bête d'invocation dans cette compo.",Titus Vaillefendre + Ara monstrueux,"Goldrinn, le grand loup + bêtes invoquantes (Seigneur des égouts)"
9,Murlocs - Venimosité Scam,Facile,A,Acheter des cartes scams et essayez de conserver votre placement,"Achetez toutes les cartes de scam et essayez de préserver votre classement en tuant un maximum d'unité. Gardez vos unités sur le plateau (c'est pour cela que vous voulez concentrer vos stats!) et remplissais le rest de votre plateau par des serviteurs qui peuvent trade du 1 pour 1. Essayez de transformer votre Fourrageur boueux en serviteur dorée et donner lui venimosité avec Crache-bile. Puis, le Fourrageur va appeler d'autres unité scam de votre main.",Getting outscaled,Quand vous n'avez aucun moyen de gagner et que vous vous faîtes outscale
10,Bêtes - Stégosaure,Moyen,S,Scaling d'attaque exponentiel avec ralliement,"Faites attaquer Stégosaure au pas lourd en premier. Faites attention a bien avoir un Rat d'égout avec provocation ou un serviteur qui peut prendre plusieurs coups. Ensuite, la prochaine unités à attaquer devrait être Sabre-de-mana puis Seigneur des égouts car ça va remplir entièrement votre plateau avec beaucoup d'unités provoquantes qui vont protéger votre Poultron. Toutes les 4 unités qui meurent, votre plateau va gagner un énorme boost car Poultron va attaquer avec tous les ralliements. Ne mettez pas de réincarnation sur le Stégosaure!! Avec Scarabée alerte, vous voulez donner réincarnation sur vos Poultrons en premier puis sur Sabre-de-Mana et le Seigneur des égouts. La comp est bien meilleur sir votre Poltron est doré.",Stégosaure au pas lourd,Stégosaure au pas lourd + Bêtes (Sabre-de-mana)
